id_batiment,etat_batiment
E000001,intact
E000002,intact
E000003,a_reparer
E000004,intact
E000005,intact
E000006,intact
E000007,intact
E000008,intact
E000009,intact
E000010,intact
E000011,intact
E000012,intact
E000013,intact
E000014,intact
E000015,intact
E000016,intact
E000017,intact
E000018,intact
E000019,intact
E000020,intact
E000021,intact
E000022,intact
E000023,intact
E000024,intact
E000025,intact
E000026,intact
E000027,intact
E000028,intact
E000029,intact
E000030,intact
E000031,intact
E000032,intact
E000033,intact
E000034,intact
E000035,intact
E000036,intact
E000037,intact
E000038,intact
E000039,intact
E000040,intact
E000041,intact
E000042,intact
E000043,intact
E000044,intact
E000045,intact
E000046,intact
E000047,intact
E000048,intact
E000049,intact
E000050,intact
E000051,intact
E000052,intact
E000053,intact
E000054,intact
E000055,intact
E000056,intact
E000057,intact
E000058,intact
E000059,intact
E000060,intact
E000061,intact
E000062,intact
E000063,intact
E000064,intact
E000065,intact
E000066,intact
E000067,a_reparer
E000068,intact
E000069,intact
E000070,intact
E000071,intact
E000072,intact
E000073,intact
E000074,intact
E000075,intact
E000076,intact
E000077,intact
E000078,intact
E000079,intact
E000080,intact
E000081,intact
E000082,intact
E000083,intact
E000084,intact
E000085,a_reparer
E000086,intact
E000087,intact
E000088,intact
E000089,intact
E000090,intact
E000091,intact
E000092,intact
E000093,intact
E000094,intact
E000095,intact
E000096,intact
E000097,intact
E000098,a_reparer
E000099,intact
E000100,intact
E000101,intact
E000102,intact
E000103,intact
E000104,intact
E000105,intact
E000106,a_reparer
E000107,a_reparer
E000108,a_reparer
E000109,a_reparer
E000110,a_reparer
E000111,a_reparer
E000112,a_reparer
E000113,intact
E000114,intact
E000115,intact
E000116,intact
E000117,intact
E000118,intact
E000119,intact
E000120,intact
E000121,intact
E000122,intact
E000123,intact
E000124,intact
E000125,intact
E000126,intact
E000127,a_reparer
E000128,a_reparer
E000129,a_reparer
E000130,intact
E000131,intact
E000132,intact
E000133,intact
E000134,intact
E000135,intact
E000136,intact
E000137,intact
E000138,intact
E000139,intact
E000140,intact
E000141,intact
E000142,intact
E000143,intact
E000144,a_reparer
E000145,a_reparer
E000146,a_reparer
E000147,intact
E000148,intact
E000149,intact
E000150,intact
E000151,intact
E000152,intact
E000153,intact
E000154,intact
E000155,intact
E000156,intact
E000157,intact
E000158,intact
E000159,intact
E000160,a_reparer
E000161,a_reparer
E000162,intact
E000163,intact
E000164,intact
E000165,intact
E000166,intact
E000167,intact
E000168,intact
E000169,intact
E000170,intact
E000171,intact
E000172,intact
E000173,intact
E000174,a_reparer
E000175,a_reparer
E000176,a_reparer
E000177,a_reparer
E000178,a_reparer
E000179,intact
E000180,intact
E000181,intact
E000182,intact
E000183,a_reparer
E000184,a_reparer
E000185,a_reparer
E000186,intact
E000187,intact
E000188,a_reparer
E000189,intact
E000190,intact
E000191,intact
E000192,intact
E000193,a_reparer
E000194,a_reparer
E000195,a_reparer
E000196,a_reparer
E000197,a_reparer
E000198,a_reparer
E000199,intact
E000200,intact
E000201,intact
E000202,intact
E000203,intact
E000204,intact
E000205,intact
E000206,intact
E000207,intact
E000208,intact
E000209,intact
E000210,intact
E000211,intact
E000212,intact
E000213,intact
E000214,intact
E000215,intact
E000216,intact
E000217,intact
E000218,intact
E000219,intact
E000220,intact
E000221,intact
E000222,a_reparer
E000223,intact
E000224,intact
E000225,a_reparer
E000226,a_reparer
E000227,a_reparer
E000228,a_reparer
E000229,a_reparer
E000230,intact
E000231,intact
E000232,intact
E000233,intact
E000234,intact
E000235,intact
E000236,intact
E000237,intact
E000238,intact
E000239,intact
E000240,intact
E000241,intact
E000242,intact
E000243,intact
E000244,intact
E000245,intact
E000246,intact
E000247,intact
E000248,intact
E000249,intact
E000250,intact
E000251,intact
E000252,a_reparer
E000253,intact
E000254,intact
E000255,intact
E000256,intact
E000257,a_reparer
E000258,a_reparer
E000259,a_reparer
E000260,a_reparer
E000261,intact
E000262,intact
E000263,intact
E000264,intact
E000265,intact
E000266,a_reparer
E000267,a_reparer
E000268,a_reparer
E000269,intact
E000270,intact
E000271,intact
E000272,intact
E000273,intact
E000274,a_reparer
E000275,a_reparer
E000276,intact
E000277,intact
E000278,intact
E000279,intact
E000280,intact
E000281,intact
E000282,intact
E000283,intact
E000284,intact
E000285,intact
E000286,intact
E000287,intact
E000288,intact
E000289,intact
E000290,intact
E000291,intact
E000292,intact
E000293,a_reparer
E000294,intact
E000295,intact
E000296,intact
E000297,intact
E000298,intact
E000299,intact
E000300,intact
E000301,a_reparer
E000302,a_reparer
E000303,a_reparer
E000304,intact
E000305,intact
E000306,intact
E000307,intact
E000308,intact
E000309,intact
E000310,intact
E000311,intact
E000312,intact
E000313,intact
E000314,intact
E000315,a_reparer
E000316,a_reparer
E000317,a_reparer
E000318,intact
E000319,intact
E000320,intact
E000321,intact
E000322,a_reparer
E000323,intact
E000324,intact
E000325,a_reparer
E000326,a_reparer
E000327,a_reparer
E000328,intact
E000329,intact
E000330,intact
E000331,intact
E000332,intact
E000333,intact
E000334,intact
E000335,intact
E000336,intact
E000337,intact
E000338,intact
E000339,intact
E000340,intact
E000341,intact
E000342,intact
E000343,intact
E000344,intact
E000345,intact
E000346,a_reparer
E000347,intact
E000348,intact
E000349,intact
E000350,intact
E000351,intact
E000352,intact
E000353,intact
E000354,intact
E000355,intact
E000356,intact
E000357,intact
E000358,a_reparer
E000359,a_reparer
E000360,a_reparer
E000361,a_reparer
E000362,intact
E000363,a_reparer
E000364,a_reparer
E000365,a_reparer
E000366,a_reparer
E000367,a_reparer
E000368,a_reparer
E000369,a_reparer
E000370,a_reparer
E000371,a_reparer
E000372,a_reparer
E000373,a_reparer
E000374,a_reparer
E000375,a_reparer
E000376,a_reparer
E000377,a_reparer
E000378,a_reparer
E000379,a_reparer
E000380,a_reparer
E000381,a_reparer
